segment,segment_start,segment_end,asset_target,model,n_test,direction_accuracy,balanced_direction_accuracy,MAE,RMSE,interval_90pct_coverage,interval_90pct_avg_width,interval_90pct_median_width,interval_90pct_avg_half_width,interval_width_to_mae
2016_2019,2016-01-01,2019-12-31,QQQ_ret,baseline,33,0.36363636363636365,0.37316176470588236,0.007995307814470361,0.011011989209076761,0.9393939393939394,0.05835550129531085,0.06359513972736772,0.029177750647655425,7.298718529597542
2016_2019,2016-01-01,2019-12-31,QQQ_ret,shock_main,33,0.42424242424242425,0.43566176470588236,0.006853279732312632,0.009983517387233415,0.9393939393939394,0.056454773323895924,0.056301769914771496,0.028227386661947962,8.237628628774113
2016_2019,2016-01-01,2019-12-31,QQQ_ret,shock_interactions,33,0.36363636363636365,0.3713235294117647,0.007713520819347925,0.010640777338044806,0.9393939393939394,0.055870897945488364,0.058481033690344894,0.027935448972744182,7.243241997266237
2016_2019,2016-01-01,2019-12-31,QQQ_ret,rag_memory,33,0.5454545454545454,0.5496323529411764,0.008853011261006303,0.0124956675809717,0.9696969696969697,0.06128830418567304,0.06404600275773684,0.03064415209283652,6.922876564680494
2016_2019,2016-01-01,2019-12-31,QQQ_ret,shock_rag,33,0.5454545454545454,0.5496323529411764,0.008961570233082188,0.01285627872801288,0.9393939393939394,0.05763084227826154,0.05876871273124292,0.02881542113913077,6.4308866392090245
2016_2019,2016-01-01,2019-12-31,QQQ_ret,case_model,33,0.30303030303030304,0.30147058823529416,0.009951074180983172,0.01439128201237799,0.9090909090909091,0.05004257398188503,0.0557889219619771,0.025021286990942516,5.028861515022974
2016_2019,2016-01-01,2019-12-31,QQQ_ret,fusion,33,0.5151515151515151,0.5202205882352942,0.008845656415101296,0.012596058061052129,0.9696969696969697,0.05161236623276799,0.04999197683263849,0.025806183116383996,5.8347694971122115
2016_2019,2016-01-01,2019-12-31,QQQ_ret,fusion_case,33,0.42424242424242425,0.4319852941176471,0.00886462387578358,0.012515710196898271,0.9393939393939394,0.053568319585507104,0.053715641141061414,0.026784159792753552,6.042932033681123
2016_2019,2016-01-01,2019-12-31,SPY_ret,baseline,33,0.5151515151515151,0.5319548872180451,0.005230706721036607,0.007231337970223615,1.0,0.05373872792849794,0.05515835523042224,0.02686936396424897,10.273703114031242
2016_2019,2016-01-01,2019-12-31,SPY_ret,shock_main,33,0.45454545454545453,0.4793233082706767,0.0056084714860773505,0.007781069670957198,1.0,0.057918900754090424,0.06376917024937359,0.028959450377045212,10.327038462773709
2016_2019,2016-01-01,2019-12-31,SPY_ret,shock_interactions,33,0.45454545454545453,0.4699248120300752,0.006342745155634656,0.008616017985917955,1.0,0.06488538465970742,0.06736057781644372,0.03244269232985371,10.22985837639491
2016_2019,2016-01-01,2019-12-31,SPY_ret,rag_memory,33,0.5151515151515151,0.513157894736842,0.005895637636383112,0.008066628762533019,0.9696969696969697,0.047230779956620055,0.04253065986504094,0.023615389978310027,8.011140248028449
2016_2019,2016-01-01,2019-12-31,SPY_ret,shock_rag,33,0.5151515151515151,0.513157894736842,0.005291810955345098,0.007299321374894926,0.9696969696969697,0.04871892384271644,0.048888065321534155,0.02435946192135822,9.206474731208402
2016_2019,2016-01-01,2019-12-31,SPY_ret,case_model,33,0.2727272727272727,0.2650375939849624,0.007761409096373936,0.011174519695684261,0.9090909090909091,0.04185702564537418,0.0434050890688594,0.02092851282268709,5.392967324055811
2016_2019,2016-01-01,2019-12-31,SPY_ret,fusion,33,0.5151515151515151,0.513157894736842,0.006184295771640744,0.008729140754682237,0.9393939393939394,0.05450483897757183,0.05693453262514877,0.027252419488785914,8.813426943050503
